document	topic	gamma
149-1_1842	1	0.016025641025641024
149-2_1842	1	0.0035211267605633804
149-3_1842	1	0.049019607843137254
149-4_1842	1	0.05400696864111498
15_1840	1	0.20714285714285716
150_1842	1	0.004672897196261682
15038_1829	1	0.003816793893129771
15044_1829	1	0.038461538461538464
15058_1830	1	0.015151515151515152
15087_1835	1	0.11666666666666667
151_1842	1	0.002688172043010753
152_1843	1	0.005681818181818182
153_1844	1	0.0026041666666666665
154_1844	1	0.08027522935779817
156_1845	1	0.05303030303030303
157_1847	1	0.00819672131147541
158_1847	1	0.06129032258064516
16_1840	1	0.43700787401574803
160_1848	1	0.10755813953488372
162_1849	1	0.1885593220338983
163_1849	1	0.008064516129032258
164_1850	1	0.00865051903114187
165_1840	1	0.03197674418604651
166_1840	1	0.29435483870967744
167_1840	1	0.014150943396226415
16732-1_1824	1	0.04487179487179487
16733_1824	1	0.06701030927835051
168-1_1840	1	0.010416666666666666
168-2_1840	1	0.016826923076923076
169_1840	1	0.004132231404958678
17_1840	1	0.017628205128205128
173_1841	1	0.19444444444444445
174_1842	1	0.0049504950495049506
175_1842	1	0.002717391304347826
17543_1816	1	0.018518518518518517
176_1842	1	0.003816793893129771
177-1_1843	1	0.011029411764705883
177-2_1843	1	0.009868421052631578
177-3_1843	1	0.009036144578313253
17714_1831	1	0.006756756756756757
17740_1836	1	0.5181159420289855
178_1843	1	0.041666666666666664
17827-1_1808	1	0.020833333333333332
17827-2_1808	1	0.0058823529411764705
17827-3_1808	1	0.08024691358024691
17827-4_1808	1	0.006493506493506494
17827-5_1808	1	0.00625
17828-1_1809	1	0.07857142857142857
17828-2_1809	1	0.016666666666666666
17828-3_1809	1	0.006944444444444444
17829-1_1812	1	0.0125
17829-2_1812	1	0.007936507936507936
17829-3_1812	1	0.035211267605633804
17830-1_1813	1	0.032467532467532464
17830-2_1813	1	0.09210526315789473
17830-3_1813	1	0.007575757575757576
17831-1_1812	1	0.021739130434782608
17831-2_1812	1	0.2661290322580645
17831-3_1812	1	0.020833333333333332
17831-4_1812	1	0.26515151515151514
17831-5_1812	1	0.0546875
17832-1_1813	1	0.02
17832-2_1813	1	0.040697674418604654
17832-3_1813	1	0.01875
17833-1_1814	1	0.006097560975609756
17833-2_1814	1	0.006172839506172839
17833-3_1814	1	0.041176470588235294
17834-1_1814	1	0.5052083333333334
17834-2_1814	1	0.22151898734177214
17834-3_1814	1	0.017241379310344827
17835-1_1814	1	0.008333333333333333
17835-2_1814	1	0.008620689655172414
17835-3_1814	1	0.04310344827586207
17835-4_1814	1	0.009259259259259259
17835-5_1814	1	0.013888888888888888
17836-1_1814	1	0.016129032258064516
17836-2_1814	1	0.030864197530864196
17836-3_1814	1	0.0189873417721519
17837-1_1814	1	0.02054794520547945
17837-2_1814	1	0.00641025641025641
17837-3_1814	1	0.021739130434782608
17837-4_1814	1	0.007352941176470588
17837-5_1814	1	0.0078125
17838-1_1814	1	0.00684931506849315
