id	signature	author	title	first_line	genre_subtitle	source.name	place	year	volume	number	section	page	type	translation	canon_or_not	meter	razmer	regularity	claus	rhyme	graphic_stanzas	stanza_model	stanza_type	other	Nlines	narrator	dir_speech
96	NA	Глебов Л. И.	Смерть Олега	Окончив с вражьею землей	NA	Стихотворения 1845 и 1846 Леонида Глебова	Полтава	1847	NA	NA	NA	49-53	col	NA	periphery	Я	Я4	reg	мжмж	rhymed	FALSE	Я4aBaB	четверостишие	NA	106	heterodiegetic	TRUE
97	NA	Глебов Л. И.	Казачья песня	Берегись, не спи, казак	NA	Стихотворения 1845 и 1846 Леонида Глебова	Полтава	1847	NA	NA	NA	64	col	NA	periphery	Х	Х43	reg	мммм	unreg	TRUE	Х43obob	четверостишие	NA	16	heterodiegetic	FALSE
98	NA	Глебов Л. И.	Песня	Где ты, юность, где ты, радость?	NA	Стихотворения 1845 и 1846 Леонида Глебова	Полтава	1847	NA	NA	NA	76-78	col	NA	periphery	Х	Х43	reg	жмжм	unreg	TRUE	Х43ObOb	четверостишие	NA	48	homodiegetic	TRUE
99	NA	Глебов Л. И.	Воспоминание гусара	Все говорят, что бледен я	NA	Стихотворения 1845 и 1846 Леонида Глебова	Полтава	1847	NA	NA	NA	81-82	col	NA	periphery	Я	Я3	reg	дмдм	unreg	TRUE	Я3O'bO'b	четверостишие	NA	32	homodiegetic	FALSE
100	NA	Глебов Л. И.	Ямщик	Кони мчалися быстрой стрелой	NA	Стихотворения 1845 и 1846 Леонида Глебова	Полтава	1847	NA	NA	NA	100-103	col	NA	periphery	Ан	Ан3	reg	мммммммммм	rhymed	TRUE	Ан3ababcdcdee	десятистишие	NA	100	homodiegetic	TRUE
101	NA	[Н. Т.]	Ямщик	Туман на землю спускался	NA	Стихотворения / Н.Т.	М.	1847	NA	NA	NA	112-114	col	NA	periphery	Х	Х4	unreg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	40	mixed	TRUE
102	NA	[Н. Т.]	Беда	Конь борзый скакал	NA	Стихотворения / Н.Т.	М.	1847	NA	NA	NA	119-125	col	NA	periphery	ТПА	Ам2+Д2	unreg	м-ж	rhymed	FALSE	unreg	четверостишие	перекрестная рифмовка, но клаузулы неурег.	140	heterodiegetic	TRUE
103	NA	Дуров Н.	Баллада	Уж полночь пробило на башне высокой	баллада	Стихотворения Николая Дурова	Воронеж	1848	NA	NA	NA	20-21	col	NA	periphery	Ам	Ам4	unreg	жмжм	unreg	FALSE	Ам4AbAb	четверостишие	в конце отклонения от перекр. рифмовки	53	heterodiegetic	TRUE
104	NA	Голишев Н.	Георг и Людмила	Бронею рыцарской покрытый	Баллада	Военный досуг : Стихотворения Николая Голишева	М.	1848	NA	NA	NA	34-38	col	NA	periphery	Я	Я4	reg	жмжм	rhymed	TRUE	Я4AbAb	двенадцатистишие графически	NA	120	heterodiegetic	TRUE
105	NA	Голишев Н.	Тревога ревности	Иван! седлай скорей коня	NA	Военный досуг : Стихотворения Николая Голишева	М.	1848	NA	NA	NA	46-48	col	NA	periphery	Я	Я4	reg	мм	rhymed	TRUE	Я4aa	двустишие	NA	42	homodiegetic	FALSE
106	Елисавета Шахова	Шахова Е. М.	Два сна	Мой друг! я видел страшный сон	Баллада-фантазия	Современник	СПб.	1841	XXIV	NA	VII	67-69	per	NA	periphery	Я	Я4	reg	м-ж	rhymed	FALSE	unreg	вольная рифмовка	NA	97	mixed	TRUE
107	NA	Фет А. А.	Змей	Чуть вечернею росою	Баллады/ ПСС баллады	Стихотворения А.Фета	М.	1850	NA	NA	NA	98	col	NA	canon	Х	Х4	reg	жмжм	unreg	FALSE	Х4ObOb	четверостишие	отклонения от рифмы в нечетных строках	16	heterodiegetic	FALSE
108	NA	Фет А. А.	Сильфы	Ночную фиалку лобзает Зефир	Баллады	Стихотворения А.Фета	М.	1850	NA	NA	NA	98	col	NA	canon	Ам	Ам43	reg	мммм	rhymed	TRUE	Ам43abab	катрен	NA	20	heterodiegetic	FALSE
109	А. Фетъ	Фет А. А.	Баллада	Почти ребенком я была	Баллады/ ПСС баллады	ОЗ	М.	1843	XXVI	№1	I	212	per	NA	canon	Я	Я43	reg	мммм	unreg	FALSE	Я43obob	четверостишие	NA	40	homodiegetic	TRUE
110	NA	Фет А. А.	Метель	Ночью буря разозлилась	Баллады	Стихотворения А.Фета	М.	1850	NA	NA	NA	100	col	NA	canon	Х	Х4	reg	жжмжжм	rhymed	TRUE	Х4AAbCCb	шестистишие	NA	54	heterodiegetic	TRUE
111	А. Фет	Фет А. А.	Дозор	Из беседки садовой воевода багровой	Украинская баллада	ОЗ	СПб.	1846	XLV	№3	I	44-45	per	A. Mickiewicz	canon	Ан	Ан43	unreg	жжжж	unreg	TRUE	Ан43OBOB	катрен	цезурн. наращения, внутр. рифма в нечетных строках	56	heterodiegetic	TRUE
112	NA	Фет А. А.	Геро и Леандр	Бледен лик твой, бледен, дева!	Баллады/ ПСС баллады	Стихотворения А.Фета	М.	1850	NA	NA	NA	103	col	NA	canon	Х	Х4	reg	жжмжжм	rhymed	FALSE	Х4AAbCCb	шестистишие	NA	36	mixed	FALSE
113	А. Фет	Фет А. А.	Няня	Спать пора, свеча сгорела	Баллады/ ПСС баллады	ОЗ	СПб.	1847	LII	№5	I	196	per	NA	canon	Х	Х4	reg	жмжм	rhymed	FALSE	Х4AbAb	четверостишие	NA	32	homodiegetic	FALSE
114	NA	Фет А. А.	***	На дворе не слышно вьюги	Баллады/ ПСС баллады	Подземные ключи	М.	1842	NA	NA	NA	80	col	NA	canon	Х	Х4	reg	жмжм	rhymed	FALSE	Х4AbAb	четверостишие	NA	24	heterodiegetic	TRUE
115	А…Фетъ	Фет А. А.	Сказание	Вдоль по берегу полями	Баллады/ ПСС баллады	Москвитянин	М.	1843	ч.3	№6	NA	334	per	NA	canon	Х	Х43	reg	жмжм	rhymed	FALSE	Х43AbAb	четверостишие	NA	48	heterodiegetic	TRUE
116	NA	Фет А. А.	Горная идиллия	На горе стоит избушка	NA	Стихотворения А.Фета	М.	1850	NA	NA	NA	180-181	col	H. Heine «Berg-Idylie»	canon	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	44	heterodiegetic	TRUE
117	NA	Фет А. А.	Лихорадка	Няня, что-то все не сладко!	1850разд. Разные стихотворения/Баллады ПСС	Стихотворения А.Фета	М.	1850	NA	NA	NA	160	col	NA	canon	Х	Х4	reg	жмжм	rhymed	TRUE	Х4AbAb	катрен	NA	24	homodiegetic	TRUE
118	А. Фет	Фет А. А.	Видение	Не ночью, не лживо	1850разд. Разные стихотворения/ Баллады ПСС	Москвитянин	М.	1843	NA	№10	NA	290	col	NA	canon	Ам	Ам23	reg	жжжж	rhymed	FALSE	Ам23ABAB	четверостишие	NA	16	heterodiegetic	FALSE
119	NA	[Г. Г. Р.]	***	Когда в необъятное, дальнее море	NA	Стихотворения Г.Г.Р. Т.I	Одесса	1850	NA	NA	NA	5-6	col	NA	periphery	Ам	Ам4	reg	жмжм	rhymed	TRUE	Ам4AbAb	катрен	NA	16	homodiegetic	FALSE
120	NA	[Г. Г. Р.]	***	С спокойного берега в волны реки	NA	Стихотворения Г.Г.Р. Т.I	Одесса	1850	NA	NA	NA	38-39	col	NA	periphery	Ам	Ам43	reg	мжмж	rhymed	TRUE	Ам43aBaB	катрен	NA	20	heterodiegetic	FALSE
121	NA	Неудачев И.	Почтарь	Ехал я...грустно в дороге	NA	Стихотворения Иосафа Неудачева	Киев	1850	NA	NA	NA	7-9	col	NA	periphery	ТПА	Д3+Ам3+Ам4+Ан3	unreg	ж-м	rhymed	FALSE	unreg	четверостишие	перекрестная рифмовка, но клаузулы неурег.	66	homodiegetic	TRUE
122	Аксаков	Аксаков К. С.	Ночное посещение.	Милая, что так поздно?	NA	Одесский альманах на 1840 год	Одесса	1840	NA	NA	NA	565—566	per	F. G. Wetzel	BP	ПМФ	Я3+Я4	unreg	мммм	rhymed	TRUE	Я4aabb	четверостишие с обрамлением	NA	30	mixed	FALSE
123	А. Кольцов	Кольцов А. В.	Русская песня	Говорил мне друг, прощаючись	NA	ОЗ	СПб.	1840	IX	№4	III	212	per	NA	canon	Х	Х4	reg	д	unrhymed	TRUE	unreg	четверостишие графически	NA	24	homodiegetic	TRUE
124	А. В. Кольцов	Кольцов А. В.	Хуторок	За рекой, на горе	NA	ОЗ	СПб.	1840	VIII	№1	III	82-84	per	NA	canon	Ан	Ан2	reg	мммм	unreg	TRUE	Ан2obob	четверостишие	рифма в четных строках с отклонениями	92	heterodiegetic	TRUE
126	В. Красов	Красов  В. И.	Разлука	Пронесется ли буря мятежная	NA	ОЗ	СПб.	1840	IX	№3	III	3-4	per	NA	BP	Ан	Ан3	reg	дмдм	rhymed	FALSE	Ан3A'bA'b	четверостишие	NA	36	heterodiegetic	FALSE
